"ReefName","ReefID","Dataset","report_year","DHWYear","Era","Sector","depth","DISTURBANCE_TYPE","storm_name","description","tooltip","Pre_Cover_Pct","Post_Cover_Pct","Net_Change_Pct","Rel_Change_Pct","Growth_Adj_Mortality_Pct","Absolute_Loss_Pct","MaxDHW","prop_acropora","secc3m","winyear_mean","histmDHW6","mcur_90","winyear_sd","cloudp_90","yrsince6","In_Stage1_Zarr_Val_N262","In_MultiDecadal_Expansion_N465","In_Temporal_Era_Models","In_2024_Train_Pre2024","In_2024_Test_2024","In_Confirmed_Bleaching_Strict_N305"
"Snapper Reef (16-006)","16-006","MMP Inshore",2024,2024,"2024","CA",5,"m","Jasper",NA,NA,0.578979431377628,0,-0.578979431377628,-0.998279535096104,0.998279535096104,0.578979431377628,6.93,0.148405009656334,14.271323,26.7804109589041,11.65,0.13344906,2.17618847287383,0.799943423167458,7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Snapper Reef (16-006)","16-006","MMP Inshore",2024,2024,"2024","CA",2,"m","Jasper",NA,NA,0.502998434176482,0,-0.502998434176482,-0.998063213659628,0.998063213659628,0.502998434176482,6.93,0.0753795432755721,14.271323,26.7804109589041,11.65,0.13344906,2.17618847287383,0.799943423167458,7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Taylor Reef (17-064)","17-064","LTMP Benthic",2018,2017,"2016/2017","IN",9,"m",NA,"COTS.  AO in 2018",NA,0.629748803816768,0.0347810905147587,-0.594967713302009,-0.902049278329858,0.902049278329858,0.594967713302009,8.16,0.0903362338670672,13.282289,27.2101639344262,0,0.2613483,1.72210189762485,0.717036676640091,35,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"U/N Reef (21-060)","21-060","LTMP Benthic",2018,2017,"2016/2017","PO",9,NA,NA,NA,NA,0.0328598662622477,0.0197405029836246,-0.0131193632786231,-0.823139791761785,0.823139791761785,0.0131193632786231,4.38,0.204603009152029,17.487999,26.1115846994536,6.16,0.40911528,1.86535386179439,0.611110429742414,15,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Daydream Reef (No 1) (20-035a)","20-035a","MMP Inshore",2021,2021,NA,"WH",2,NA,NA,NA,NA,0.00635046652602141,0.00259068721985021,-0.00375977930617119,-0.810123284176466,0.810123284176466,0.00375977930617119,0,0.445371914034136,14.271323,26.4075342465753,6.9,0.29067624,1.87977863770658,0.630236691885792,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Double Cone Reef (20-024)","20-024","MMP Inshore",2018,2018,NA,"WH",2,NA,NA,NA,NA,0.019052769230842,0.00869811132399269,-0.0103546579068493,-0.769166965899814,0.769166965899814,0.0103546579068493,0,0,14.271323,26.4075342465753,6.9,0.29067624,1.87977863770658,0.630236691885792,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hedley Reef (17-014)","17-014","LTMP Benthic",2018,2017,"2016/2017","IN",9,"b",NA,"0+ bleaching, disease, Drupella and low numbers of COTS, 2016/17 summer bleaching.  Decline in coral cover, low number of COTS, COTS removal-80",NA,0.131139988698772,0.0388356865921226,-0.092304302106649,-0.764480937125201,0.764480937125201,0.092304302106649,7.98,0.277794605110749,13.539719,27.4591256830601,0,0.22999181,1.55578483367227,0.686049413968976,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Farquharson Reef (No 1) (17-063a)","17-063a","LTMP Benthic",2018,2017,"2016/2017","IN",9,"m",NA,"COTS.  AO in 2018, COTS removal-308",NA,0.285491151006558,0.0724496420630625,-0.213041508943496,-0.760913693981831,0.760913693981831,0.213041508943496,8.16,0.370220692993188,10.47477,27.2381420765027,0,0.2557837,1.70785323384032,0.721851681882072,35,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Snapper Reef (16-006)","16-006","MMP Inshore",2024,2024,"2024","CA",2,"m","Jasper",NA,NA,0.168635894808052,0.0515536581927006,-0.117082236615351,-0.74489761013745,0.74489761013745,0.117082236615351,6.93,0.0753795432755721,14.271323,26.7804109589041,11.65,0.13344906,2.17618847287383,0.799943423167458,7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Yonge Reef (14-138)","14-138","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m",NA,"bleaching mortality, storm dmage.  intact dead colonies observed,Cyclone Nathan March 2015, 2015/16 summer bleaching",NA,0.181422760835588,0.0732435435921588,-0.108179217243429,-0.742380298112827,0.742380298112827,0.108179217243429,11.49,0.0830750625812712,18.468624,26.8202465753425,0,0.33101484,1.58471662719733,0.595628589472832,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
