"ReefName","ReefID","Dataset","report_year","DHWYear","Era","Sector","depth","DISTURBANCE_TYPE","storm_name","description","tooltip","Pre_Cover_Pct","Post_Cover_Pct","Net_Change_Pct","Rel_Change_Pct","Growth_Adj_Mortality_Pct","Absolute_Loss_Pct","MaxDHW","prop_acropora","secc3m","winyear_mean","histmDHW6","mcur_90","winyear_sd","cloudp_90","yrsince6","In_Stage1_Zarr_Val_N262","In_MultiDecadal_Expansion_N465","In_Temporal_Era_Models","In_2024_Train_Pre2024","In_2024_Test_2024","In_Confirmed_Bleaching_Strict_N305"
"Hedley Reef (17-014)","17-014","LTMP Benthic",2018,2017,"2016/2017","IN",9,"b",NA,"0+ bleaching, disease, Drupella and low numbers of COTS, 2016/17 summer bleaching.  Decline in coral cover, low number of COTS, COTS removal-80",NA,13.1,3.9,-9.2,-76.4,76.4,9.2,7.98,42.4,13.54,27.46,0,0.23,1.56,0.69,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Yonge Reef (14-138)","14-138","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m",NA,"bleaching mortality, storm dmage.  intact dead colonies observed,Cyclone Nathan March 2015, 2015/16 summer bleaching",NA,18.1,7.3,-10.8,-74.2,74.2,10.8,11.49,23.4,18.47,26.82,0,0.33,1.58,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Carter Reef (14-137)","14-137","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m",NA,"0+ survey severe bleaching in sector 2016 summer, also severe storm damage.  Cyclone Nathan March 2015, 2015/16 summer bleaching",NA,25.3,8.6,-16.7,-72.1,72.1,16.7,11.32,25.7,15.72,26.81,0,0.37,1.59,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Penrith Reef (21-025)","21-025","LTMP Benthic",2018,2017,"2016/2017","PO",9,"m",NA,"Aerial bl 4 2017",NA,30,8,-22,-71.9,71.9,22,4.87,24.6,14.27,26.16,7.78,0.39,2.03,0.61,30,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b)","23-004b","MMP Inshore",2025,2024,"2024","CB",2,"b",NA,"further decline as a result of bleaching in 2024",NA,17.8,6.2,-11.6,-71.2,71.2,11.6,12.41,97,9.36,24.39,9.4,0.18,2.68,0.52,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Pompey Reef (No 1) (20-351a)","20-351a","LTMP Benthic",2018,2017,"2016/2017","PO",9,"b",NA,"Aerial bl 2 2017 events.",NA,25.4,9.1,-16.3,-70.7,70.7,16.3,4.24,16.9,12.84,26.16,6.74,0.49,1.86,0.61,15,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Linnet Reef (14-126)","14-126","Manta Tow",2025,2024,"2024","CL",9,"b",NA,"DHW 6.73",NA,42.8,12.2,-30.6,-70.3,70.3,30.6,6.73,63.4,8.16,26.84,10.06,0.17,1.95,0.79,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Peart Reef (17-024)","17-024","LTMP Benthic",2018,2017,"2016/2017","IN",9,"m",NA,"0+ bleaching, COTS, disease and Drupella on transects, COTS removal.  AO in 2018, Large decline HCC, COTS removal-6178",NA,41.4,11.2,-30.2,-69.5,69.5,30.2,9.52,39.5,15.84,27.29,0,0.22,1.74,0.69,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Broomfield Reef (23-048)","23-048","LTMP Benthic",2025,2024,"2024","CB",9,"m",NA,"Aerial bl 5 2024   DHW 11.6",NA,57.5,17.9,-39.6,-68.5,68.5,39.6,11.6,86.2,9.24,24.87,6.9,0.4,2,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Humpy (Bur-ye-Bur-ye) Reef (23-016)","23-016","MMP Inshore",2025,2024,"2024","CB",2,"b",NA,"further decline as a result of bleaching in 2024",NA,23,7.9,-15.1,-67.4,67.4,15.1,12.47,70.8,11.07,24.32,9.74,0.2,2.71,0.54,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Opal Reef (16-025)","16-025","LTMP Benthic",2017,2016,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC and particularly SC, COTS removal-2188.  2015/16 summer bleaching, COTS removal-2188",NA,20,8.4,-11.7,-65.4,65.4,11.7,5.82,24.7,17.63,26.72,0,0.27,1.8,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Hastings Reef (16-057)","16-057","LTMP Benthic",2018,2017,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC, COTS removal.  2016/17 summer bleaching, COTS removal 886",NA,25.8,9.4,-16.5,-65.2,65.2,16.5,10.25,47.1,14.46,27.53,0,0.23,1.53,0.74,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b)","23-004b","MMP Inshore",2024,2024,"2024","CB",2,"b",NA,"bleaching still evident at time of surveys",NA,48.4,17.8,-30.6,-64.1,64.1,30.6,12.41,98.3,9.36,24.39,9.4,0.18,2.68,0.52,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"No Name Reef (14-139)","14-139","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m",NA,"Bleaching, storm damage.  Cyclone Nathan March 2015, 2015/16 summer bleaching",NA,20.6,10,-10.5,-63.9,63.9,10.5,11.36,18.8,12.16,26.8,0,0.34,1.59,0.59,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Martin Reef (14-123)","14-123","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m","Nathan","Nathan and bleaching 2016 COTS removal-317",NA,9.3,4.8,-4.5,-63.8,63.8,4.5,7.87,1.2,10.67,26.54,0,0.22,1.83,0.66,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Moore Reef (16-071)","16-071","LTMP Benthic",2018,2017,"2016/2017","IN",9,"b",NA,"2016/17 summer bleaching, COTS removal.  0+ bleaching, low numbers disease and Drupella Decline in coral cover in the absence of COTS, COTS removal-7173",NA,28.8,11.9,-16.9,-59.1,59.1,16.9,10.7,32.8,22.1,27.46,0,0.26,1.54,0.72,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Pelican Island Reef (23-017)","23-017","MMP Inshore",2024,2024,"2024","CB",2,"b",NA,"bleaching still evident at time of surveys",NA,6.8,4,-2.8,-59,59,2.8,13.26,13.4,7.57,24.32,10.48,0.15,2.84,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"No Name Reef (14-139)","14-139","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"Bleaching, storm damage",NA,15.1,9.8,-5.4,-58.8,58.8,5.4,11.36,18.8,12.16,26.8,0,0.34,1.59,0.59,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Humpy (Bur-ye-Bur-ye) Reef (23-016)","23-016","MMP Inshore",2025,2024,"2024","CB",5,"b",NA,"further decline as a result of bleaching in 2024",NA,13.6,6.2,-7.4,-58.7,58.7,7.4,12.47,76,11.07,24.32,9.74,0.2,2.71,0.54,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Thetford Reef (16-068)","16-068","LTMP Benthic",2018,2017,"2016/2017","CA",9,"b",NA,"declines in HC and SC .  2016/17 bleaching, COTS removal- 36",NA,29.2,12.3,-16.9,-58.5,58.5,16.9,10.88,47.8,23.01,27.47,0,0.25,1.55,0.72,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Snapper Reef (16-006)","16-006","MMP Inshore",2017,2017,"2016/2017","CA",2,"b",NA,NA,NA,4.7,2.9,-1.9,-58.4,58.4,1.9,11.65,17.5,6.25,27.29,0,0.19,1.89,0.84,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Tern Reef (20-309)","20-309","LTMP Benthic",2024,2023,NA,"PO",9,"b",NA,"DHW 7.76 11% bl",NA,24.9,11.7,-13.2,-57.6,57.6,13.2,0.81,18.5,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Broomfield Reef (23-048)","23-048","Manta Tow",2025,2024,"2024","CB",9,"m",NA,"Aerial bl 5 2024   DHW 11.6",NA,58.1,24.9,-33.2,-56.6,56.6,33.2,11.6,86.2,9.24,24.87,6.9,0.4,2,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Agincourt Reefs (No 1) (15-099c)","15-099c","LTMP Benthic",2017,2016,"2016/2017","CA",9,"b",NA,"bleaching mortality-decline in HC and SC.  2015/16 bleaching event, COTS removal dives- 0 COTS",NA,26,12.2,-13.8,-56.4,56.4,13.8,6.89,30.5,15.15,26.74,0,0.29,1.74,0.61,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Linnet Reef (14-126)","14-126","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m","Nathan","0+ bleaching in sector.  Cyclone Ita April 2014, Cyclone Nathan March 2015, COTS removal in 2014 - 261",NA,4.6,3.4,-1.2,-56.2,56.2,1.2,7.76,0,10.25,26.52,0,0.22,1.88,0.67,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Havannah Reef (18-065)","18-065","LTMP Benthic",2021,2020,"2020/2022","TO",9,"b",NA,"bleaching at time of previous survey",NA,18.4,11.1,-7.2,-55.5,55.5,7.2,8.18,68.8,14.27,25.71,8.71,0.13,2.56,0.78,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Barren Island Reef (22-009)","22-009","MMP Inshore",2024,2024,"2024","CB",2,"b",NA,"bleaching still evident at time of surveys",NA,59.2,26,-33.2,-55.3,55.3,33.2,11.06,84.3,9.56,24.88,10,0.62,2.62,0.57,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Feather Reef (17-034)","17-034","Manta Tow",2018,2017,"2016/2017","IN",9,"b",NA,"2015/16 and 2016/17 summer Bleaching",NA,21.8,10.7,-11.1,-55,55,11.1,8.91,73,14.2,27.27,0,0.25,1.76,0.71,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Middle (Ba-la-ba) Island Reef (23-010)","23-010","MMP Inshore",2024,2024,"2024","CB",2,"b",NA,"bleaching still evident at time of surveys",NA,19.4,9.4,-10,-54.7,54.7,10,12.23,76.6,8.07,24.34,9.54,0.13,2.72,0.59,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Hoskyn Islands Reef (23-080)","23-080","Manta Tow",2025,2024,"2024","CB",9,"b",NA,"DHW 11.48",NA,61.8,28,-33.9,-54.6,54.6,33.9,11.2,94.9,13.35,24.9,0,0.3,1.97,0.57,35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Middle (Ba-la-ba) Island Reef (23-010)","23-010","MMP Inshore",2025,2024,"2024","CB",2,"b",NA,"further decline as a result of bleaching in 2024",NA,9.4,4.8,-4.6,-54.4,54.4,4.6,12.23,45.9,8.07,24.34,9.54,0.13,2.72,0.59,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Hedley Reef (17-014)","17-014","Manta Tow",2018,2017,"2016/2017","IN",9,"b",NA,"0+ bleaching, disease, Drupella and low numbers of COTS, 2016/17 summer bleaching",NA,12.6,7.6,-5.1,-54.3,54.3,5.1,7.98,42.4,13.54,27.46,0,0.23,1.56,0.69,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Humpy (Bur-ye-Bur-ye) Reef (23-016)","23-016","MMP Inshore",2024,2024,"2024","CB",2,"b",NA,"bleaching still evident at time of surveys",NA,49.7,23,-26.7,-54.1,54.1,26.7,12.47,88.1,11.07,24.32,9.74,0.2,2.71,0.54,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Credlin Reefs (East) (20-287)","20-287","Manta Tow",2003,2002,"1998/2002","PO",9,"m",NA,"COTS, bleaching",NA,30.4,15.3,-15.1,-53.9,53.9,15.1,6.52,47.1,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Lizard Island Reef (North West) (14-116a)","14-116a","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m","Nathan","Nathan and bleaching 2016",NA,8.6,6.7,-1.9,-53.8,53.8,1.9,8.63,0.9,26.71,26.61,0,0.25,1.74,0.85,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Yonge Reef (14-138)","14-138","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"bleaching mortality, storm dmage",NA,14.7,11.8,-2.9,-53.2,53.2,2.9,11.49,23.4,18.47,26.82,0,0.33,1.58,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Humpy (Bur-ye-Bur-ye) Reef (23-016)","23-016","MMP Inshore",2024,2024,"2024","CB",5,"b",NA,"bleaching still evident at time of surveys",NA,27.5,13.6,-13.9,-52.8,52.8,13.9,12.47,90.1,11.07,24.32,9.74,0.2,2.71,0.54,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Grub Reef (18-077)","18-077","LTMP Benthic",2018,2017,"2016/2017","TO",9,"b",NA,"DHW 2017>4",NA,11.6,7.5,-4,-52.4,52.4,4,5.55,10.4,16.67,27.17,6.87,0.31,1.61,0.59,30,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"St Crispin Reef (16-019)","16-019","Manta Tow",2017,2016,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC and particularly SC",NA,19.9,10.5,-9.4,-52.3,52.3,9.4,5.82,26.9,25.65,26.7,0,0.28,1.79,0.61,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Eyrie Reef (14-118)","14-118","Manta Tow",2025,2024,"2024","CL",9,"b",NA,"DHW 6.27 to 6.32",NA,32,15.2,-16.8,-52.3,52.3,16.8,6.27,67.1,8.49,26.93,9.4,0.25,1.85,0.81,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"U/N Reef (19-131a)","19-131a","Manta Tow",2003,2002,"1998/2002","WH",9,"b",NA,"Bleaching summer of 2001/2002 Feb? surveyed dec 02",NA,18.1,10.6,-7.5,-52.3,52.3,7.5,2.62,12.5,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Wreck Island Reef (23-051)","23-051","LTMP Benthic",2025,2024,"2024","CB",9,"b",NA,"big hc decline",NA,67,30.5,-36.5,-52.2,52.2,36.5,11.64,98,9.46,24.9,6.48,0.39,1.98,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Lizard Island Reef (North West) (14-116a)","14-116a","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"bleaching in sector, COTS, storm damage",NA,7.9,6.7,-1.2,-51.3,51.3,1.2,8.63,0.9,26.71,26.61,0,0.25,1.74,0.85,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Hastings Reef (16-057)","16-057","Manta Tow",2018,2017,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC, COTS removal",NA,17.7,9.9,-7.8,-51.2,51.2,7.8,10.25,47.1,14.46,27.53,0,0.23,1.53,0.74,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
