"ReefName","ReefID","Dataset","report_year","DHWYear","Era","Sector","depth","DISTURBANCE_TYPE","storm_name","description","tooltip","Pre_Cover_Pct","Post_Cover_Pct","Net_Change_Pct","Rel_Change_Pct","Growth_Adj_Mortality_Pct","Absolute_Loss_Pct","MaxDHW","prop_acropora","secc3m","winyear_mean","histmDHW6","mcur_90","winyear_sd","cloudp_90","yrsince6","In_Stage1_Zarr_Val_N262","In_MultiDecadal_Expansion_N465","In_Temporal_Era_Models","In_2024_Train_Pre2024","In_2024_Test_2024","In_Confirmed_Bleaching_Strict_N305"
"Snapper Reef (16-006)","16-006","MMP Inshore",2024,2024,"2024","CA",5,"m","Jasper",NA,NA,57.9,0,-57.9,-99.8,99.8,57.9,6.93,13.8,14.27,26.78,11.65,0.13,2.18,0.8,7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Snapper Reef (16-006)","16-006","MMP Inshore",2024,2024,"2024","CA",2,"m","Jasper",NA,NA,50.3,0,-50.3,-99.8,99.8,50.3,6.93,22.8,14.27,26.78,11.65,0.13,2.18,0.8,7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Taylor Reef (17-064)","17-064","LTMP Benthic",2018,2017,"2016/2017","IN",9,"m",NA,"COTS.  AO in 2018",NA,63,3.5,-59.5,-90.2,90.2,59.5,8.16,69.3,13.28,27.21,0,0.26,1.72,0.72,35,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"U/N Reef (21-060)","21-060","LTMP Benthic",2018,2017,"2016/2017","PO",9,NA,NA,NA,NA,3.3,2,-1.3,-82.3,82.3,1.3,4.38,11.2,17.49,26.11,6.16,0.41,1.87,0.61,15,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Daydream Reef (No 1) (20-035a)","20-035a","MMP Inshore",2021,2021,NA,"WH",2,NA,NA,NA,NA,0.6,0.3,-0.4,-81,81,0.4,0,0,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Double Cone Reef (20-024)","20-024","MMP Inshore",2018,2018,NA,"WH",2,NA,NA,NA,NA,1.9,0.9,-1,-76.9,76.9,1,0,4.3,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hedley Reef (17-014)","17-014","LTMP Benthic",2018,2017,"2016/2017","IN",9,"b",NA,"0+ bleaching, disease, Drupella and low numbers of COTS, 2016/17 summer bleaching.  Decline in coral cover, low number of COTS, COTS removal-80",NA,13.1,3.9,-9.2,-76.4,76.4,9.2,7.98,42.4,13.54,27.46,0,0.23,1.56,0.69,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Farquharson Reef (No 1) (17-063a)","17-063a","LTMP Benthic",2018,2017,"2016/2017","IN",9,"m",NA,"COTS.  AO in 2018, COTS removal-308",NA,28.5,7.2,-21.3,-76.1,76.1,21.3,8.16,44.8,10.47,27.24,0,0.26,1.71,0.72,35,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Snapper Reef (16-006)","16-006","MMP Inshore",2024,2024,"2024","CA",2,"m","Jasper",NA,NA,16.9,5.2,-11.7,-74.5,74.5,11.7,6.93,22.8,14.27,26.78,11.65,0.13,2.18,0.8,7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Yonge Reef (14-138)","14-138","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m",NA,"bleaching mortality, storm dmage.  intact dead colonies observed,Cyclone Nathan March 2015, 2015/16 summer bleaching",NA,18.1,7.3,-10.8,-74.2,74.2,10.8,11.49,23.4,18.47,26.82,0,0.33,1.58,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Carter Reef (14-137)","14-137","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m",NA,"0+ survey severe bleaching in sector 2016 summer, also severe storm damage.  Cyclone Nathan March 2015, 2015/16 summer bleaching",NA,25.3,8.6,-16.7,-72.1,72.1,16.7,11.32,25.7,15.72,26.81,0,0.37,1.59,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Penrith Reef (21-025)","21-025","LTMP Benthic",2018,2017,"2016/2017","PO",9,"m",NA,"Aerial bl 4 2017",NA,30,8,-22,-71.9,71.9,22,4.87,24.6,14.27,26.16,7.78,0.39,2.03,0.61,30,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b)","23-004b","MMP Inshore",2025,2024,"2024","CB",2,"b",NA,"further decline as a result of bleaching in 2024",NA,17.8,6.2,-11.6,-71.2,71.2,11.6,12.41,97,9.36,24.39,9.4,0.18,2.68,0.52,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Pompey Reef (No 1) (20-351a)","20-351a","LTMP Benthic",2018,2017,"2016/2017","PO",9,"b",NA,"Aerial bl 2 2017 events.",NA,25.4,9.1,-16.3,-70.7,70.7,16.3,4.24,16.9,12.84,26.16,6.74,0.49,1.86,0.61,15,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Linnet Reef (14-126)","14-126","Manta Tow",2025,2024,"2024","CL",9,"b",NA,"DHW 6.73",NA,42.8,12.2,-30.6,-70.3,70.3,30.6,6.73,63.4,8.16,26.84,10.06,0.17,1.95,0.79,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"One Tree Island Reef (23-055a)","23-055a","LTMP Benthic",2025,2024,"2024","CB",9,"m",NA,"DHW 11",NA,64.7,19,-45.6,-69.7,69.7,45.6,11.53,91.7,10.01,24.93,0,0.37,1.96,0.54,35,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
